2026-03-18 22:11:24,196 | INFO | pid=13516 | root | Application started in main.py with pid=13516
2026-03-18 22:11:24,196 | INFO | pid=13516 | root | Dispatching folder=ajil0120no1 from main.py
2026-03-18 22:11:24,197 | INFO | pid=13516 | CrossRef.extract | Running folder=ajil0120no1 path=C:\Users\Panda\Documents\Hein_Automation\Input\ajil0120no1 volume=120 issue=1 output=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-18 22:12:06,847 | INFO | pid=13516 | CrossRef.extract | Fetched folder=ajil0120no1 total_items=24364 filtered_items=18
2026-03-18 22:12:50,898 | INFO | pid=13516 | CrossRef.extract | Saved result for folder=ajil0120no1 to C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-18 22:12:50,915 | INFO | pid=13516 | root | Dispatching folder=blj0143no1 from main.py
2026-03-18 22:12:50,916 | INFO | pid=13516 | CrossRef.extract | Running folder=blj0143no1 path=C:\Users\Panda\Documents\Hein_Automation\Input\blj0143no1 volume=143 issue=1 output=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\blj0143no1.json
2026-03-18 22:12:51,505 | INFO | pid=13516 | CrossRef.extract | Fetched folder=blj0143no1 total_items=0 filtered_items=0
2026-03-18 22:12:51,506 | WARNING | pid=13516 | CrossRef.extract | No valid articles found for folder=blj0143no1; skipping output file creation
2026-03-18 22:12:51,506 | INFO | pid=13516 | root | Dispatching folder=direlaw0021 from main.py
2026-03-18 22:12:51,523 | INFO | pid=13516 | CrossRef.extract | Running folder=direlaw0021 path=C:\Users\Panda\Documents\Hein_Automation\Input\direlaw0021 volume=21 issue=N/A output=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\direlaw0021.json
2026-03-18 22:12:52,931 | INFO | pid=13516 | CrossRef.extract | Fetched folder=direlaw0021 total_items=344 filtered_items=45
2026-03-18 22:15:28,652 | INFO | pid=13516 | CrossRef.extract | Saved result for folder=direlaw0021 to C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\direlaw0021.json
2026-03-18 22:15:28,655 | INFO | pid=13516 | root | Finished processing 2 folder(s)
